scan_id,iface,proto,address,netmask,broadcast,checksum,item_id
0,Wi-Fi,ipv4,192.168.97.31,255.255.252.0,192.168.99.255,48cd9b6cf01350eebca0f7ed6a9fed804ff19039,144cb230cf3d6576257e0124f1c2804b1dee237a
0,Bluetooth Network Connection,ipv4,169.254.135.248,255.255.0.0,169.254.255.255,dd2c738f9c9cf11a5340916bd5b72a301a8decc6,2301d55d9d4a1696193184796183e8c016188ff9
0,Bluetooth Network Connection,ipv6,fe80::a10:63fa:675d:57b6,ffff:ffff:ffff:ffff::, ,b8a80c9eadba47f73dbfcbd73a036216e8f219f0,3581176566f4a30985719ec4a9698af2ac1d3fad
0,Pritunl 3,ipv4,169.254.177.208,255.255.0.0,169.254.255.255,5616b5de4e2317c388f129121f4628e57f9ba465,38e2a087737ca71a8739a976d952108dad54d827
0,Local Area Connection* 10,ipv6,fe80::e0cf:4549:9d9:ec26,ffff:ffff:ffff:ffff::, ,6267b8d87e39a9577386f8f3a65b9d1b687dd791,3d1a944420a9d10a05442734aed43b207563f977
0,Local Area Connection* 10,ipv4,169.254.160.255,255.255.0.0,169.254.255.255,591af28afe4469a639e35a886420c455e47f5194,53e9921fdc3625ef0d79bee106a7e1f6e4fd59b4
0,Loopback Pseudo-Interface 1,ipv6,::1,, ,fa94c2aa68c8820fe69ba72c5ed91ac0fa9428f9,55604a20b704e491c9afb7320962fe4a0d9d6288
0,Pritunl 1,ipv6,fe80::88b:e8f1:1af5:51c6,ffff:ffff:ffff:ffff::, ,930c2940c4ff5651b77ef2bc8f4180b32e456144,74c12449e053df296e5c9105bb5677efc9509630
0,Local Area Connection* 9,ipv6,fe80::c0e3:c445:e276:bae3,ffff:ffff:ffff:ffff::, ,5d3e6c4f58e1c7db53801bcb8d06dc4ec4717728,74fe5a3c66cbc7aa97d8f8c3cd439f6e4f053a57
0,Loopback Pseudo-Interface 1,ipv4,127.0.0.1,255.0.0.0,127.255.255.255,2e5cd3256e1553d8dbb8d176563d964fc654a2a9,976387d31be037d781b9ff2285b6f44fd28b0650
0,Pritunl 3,ipv6,fe80::c306:e6:6945:8b23,ffff:ffff:ffff:ffff::, ,f2a8e446086f22f03ca1fa266721007607b70801,ca5dd4311c1c5504aaefe42f52437c0397b31f33
0,Pritunl 2,ipv6,fe80::2684:9a4c:5752:ebf5,ffff:ffff:ffff:ffff::, ,bb89742e992917081ebb4b35189af8afeafa6532,d799839566dc5d853d39cfeaf892fb7b66c48eda
0,Pritunl 2,ipv4,169.254.118.220,255.255.0.0,169.254.255.255,2c26db0cf2efbdb35fc7eed61878ec48920596d0,dc5b082ad7b11ff3a332c42fd2e07a9f12c3ce53
0,Wi-Fi,ipv6,fe80::467d:fd2d:e4aa:3b72,ffff:ffff:ffff:ffff::, ,d2ccce68d08e09d120505f43ac396b1db47e0b32,eb07c1a9022621e8f5061642c2476dba58a0b9b5
0,Pritunl 1,ipv4,10.200.90.240,255.255.255.0,10.200.90.255,0157001264edb16980e8f809a7835d3994c90011,f44fc3558b5fa7a2fec0f7927f068d0135a144fc
0,Local Area Connection* 9,ipv4,169.254.207.106,255.255.0.0,169.254.255.255,a08ccb16bb350cec6f1eef0ed1989ef0f079dde5,fa862bf928af4515e1a2053c5652589ce4688ae8
