full_path,file,type,date,changes,arch,value_name,value_type,size,perm,uid,gid,md5,sha1,uname,gname,mtime,inode,sha256,attributes,symbolic_path,checksum
c:\programdata\microsoft\windows\start menu\programs\startup\anydesk.lnk,c:\programdata\microsoft\windows\start menu\programs\startup\anydesk.lnk,file,1681208707,1,,,,2008,"{""S-1-5-21-1712498544-863470205-772429226-1000"":{""allowed"":[""delete""]},""S-1-5-21-1712498544-863470205-772429226-1001"":{""name"":""MEKARI"",""allowed"":[""delete""]},""S-1-5-18"":{""name"":""SYSTEM"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-544"":{""name"":""Administrators"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-545"":{""name"":""Users"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-1-0"":{""name"":""Everyone"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]}}",S-1-5-32-544,,8c82418ae2154ddd5499c8edbce0cd21,94feb750d45295ad201645179eee225f76a29fc6,Administrators,,1680230825,0,0a7da1f765ca22810aa54ac52c122b916ea189d8291ce61342116d8641c83aa8,"ARCHIVE, NOT_CONTENT_INDEXED",,17f4d64737a6d4c7ff87cf07a91b8588eb54a37c
c:\windows\regedit.exe,c:\windows\regedit.exe,file,1681208707,1,,,,397312,"{""S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464"":{""name"":""TrustedInstaller"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-544"":{""name"":""Administrators"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-5-18"":{""name"":""SYSTEM"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-5-32-545"":{""name"":""Users"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-1"":{""name"":""ALL APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-2"":{""name"":""ALL RESTRICTED APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]}}",S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,,2f06a96d2c7ca2c542c790fcd84d167a,df3a4544bdb3aad82f87a6b185cb9c45d611ab6a,TrustedInstaller,,1681040778,0,6aecf38c720b0880554ba526b95e551a94beab2c3a2b8ba4c39b537163c2757f,ARCHIVE,,a5e7fa69b82416360432e27025f565a362d10f0c
c:\windows\sysnative\drivers\etc\lmhosts.sam,c:\windows\sysnative\drivers\etc\lmhosts.sam,file,1681208707,1,,,,3683,"{""S-1-5-18"":{""name"":""SYSTEM"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-544"":{""name"":""Administrators"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-545"":{""name"":""Users"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-1"":{""name"":""ALL APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-2"":{""name"":""ALL RESTRICTED APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]}}",S-1-5-18,,18413b90e1b291ec3e777a845c37cfee,241c7d823d1842fc454ccfdd5d9d1965938fac56,SYSTEM,,1622894934,0,000fe9c924b4d155477cad15b4cfd30616c37523b4b848d6ecbd003507a55edf,ARCHIVE,,0bc5ed363cb6f9d150bc727acbcb38c896d8fb42
c:\windows\sysnative\drivers\etc\hosts,c:\windows\sysnative\drivers\etc\hosts,file,1681208707,1,,,,824,"{""S-1-5-18"":{""name"":""SYSTEM"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-544"":{""name"":""Administrators"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-545"":{""name"":""Users"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-1"":{""name"":""ALL APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-2"":{""name"":""ALL RESTRICTED APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]}}",S-1-5-18,,3688374325b992def12793500307566d,4bed0823746a2a8577ab08ac8711b79770e48274,SYSTEM,,1622894934,0,2d6bdfb341be3a6234b24742377f93aa7c7cfb0d9fd64efa9282c87852e57085,ARCHIVE,,02e9538732d8794821d3a47cc1c72e5ea9f729e5
c:\windows\sysnative\drivers\etc\networks,c:\windows\sysnative\drivers\etc\networks,file,1681208707,1,,,,407,"{""S-1-5-18"":{""name"":""SYSTEM"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-544"":{""name"":""Administrators"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-545"":{""name"":""Users"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-1"":{""name"":""ALL APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-2"":{""name"":""ALL RESTRICTED APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]}}",S-1-5-18,,b65a1232fb4b35827ce7c5e2f8ec8947,a8da4c62aad9eeccbec6600c0e497139bcc4d67c,SYSTEM,,1622894934,0,21de93ed8293dbb9c53b59a5c1af04b1fd997cf7dfbd0ba5f21cb315d845b7a8,ARCHIVE,,80cd61e02e570b06353292a61f6f8bec16406689
c:\windows\sysnative\drivers\etc\protocol,c:\windows\sysnative\drivers\etc\protocol,file,1681208707,1,,,,1358,"{""S-1-5-18"":{""name"":""SYSTEM"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-544"":{""name"":""Administrators"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-545"":{""name"":""Users"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-1"":{""name"":""ALL APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-2"":{""name"":""ALL RESTRICTED APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]}}",S-1-5-18,,7700d22fa108234e623d65fa72d9e29c,3e38922a5997f05920dd565ebc1d20c9cf105e4d,SYSTEM,,1622894934,0,52cf86496f3859d0f3e58776eccff1d6589792004d2291d3b0ce8d7635be7278,ARCHIVE,,161ae3d4e52a0a6e425c261652732a75d9e68f45
c:\windows\sysnative\drivers\etc\services,c:\windows\sysnative\drivers\etc\services,file,1681208707,1,,,,17635,"{""S-1-5-18"":{""name"":""SYSTEM"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-544"":{""name"":""Administrators"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-545"":{""name"":""Users"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-1"":{""name"":""ALL APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-2"":{""name"":""ALL RESTRICTED APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]}}",S-1-5-18,,258a17ba44674799317a5918a92859fa,e8ce488145017017ab2cfc47e1a12721e802b4c3,SYSTEM,,1622894934,0,c1723f7f29b224c42f26452c3efa8f80f6ee8500ee78513e0c0732ba55399f7d,ARCHIVE,,d568e6020244fabf32b7da2e4b517b2dec2a06e9
c:\windows\sysnative\wbem\wmic.exe,c:\windows\sysnative\wbem\wmic.exe,file,1681208707,1,,,,516096,"{""S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464"":{""name"":""TrustedInstaller"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-544"":{""name"":""Administrators"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-5-18"":{""name"":""SYSTEM"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-5-32-545"":{""name"":""Users"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-1"":{""name"":""ALL APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-2"":{""name"":""ALL RESTRICTED APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]}}",S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,,c87e18fd7821517f258acf6534d966f5,f4b9e4198c1adc4bea4561264cfe3a7140930466,TrustedInstaller,,1681040552,0,e487d25b142492923bb30f16238bc95a56f802501a0ea63d4eaed18f94e6b55f,ARCHIVE,,eb53c909dcae281735fe22ca8d95af0c71f40a04
c:\windows\sysnative\windowspowershell\v1.0\powershell.exe,c:\windows\sysnative\windowspowershell\v1.0\powershell.exe,file,1681208707,1,,,,450560,"{""S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464"":{""name"":""TrustedInstaller"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-544"":{""name"":""Administrators"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-5-18"":{""name"":""SYSTEM"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-5-32-545"":{""name"":""Users"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-1"":{""name"":""ALL APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-2"":{""name"":""ALL RESTRICTED APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]}}",S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,,0e9ccd796e251916133392539572a374,eee0b7e9fdb295ea97c5f2e7c7ba3ac7f4085204,TrustedInstaller,,1622894820,0,c7d4e119149a7150b7101a4bd9fffbf659fba76d058f7bf6cc73c99fb36e8221,ARCHIVE,,c23712d666830aa8b8a72954fbd73ac3949e523d
c:\windows\system.ini,c:\windows\system.ini,file,1681208707,1,,,,219,"{""S-1-5-18"":{""name"":""SYSTEM"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-544"":{""name"":""Administrators"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""synchronize"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute"",""read_attributes"",""write_attributes""]},""S-1-5-32-545"":{""name"":""Users"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-1"":{""name"":""ALL APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]},""S-1-15-2-2"":{""name"":""ALL RESTRICTED APPLICATION PACKAGES"",""allowed"":[""read_control"",""synchronize"",""read_data"",""read_ea"",""execute"",""read_attributes""]}}",S-1-5-18,,286a9edb379dc3423a528b0864a0f111,18db3e3dfb6b1d4dc9bc2226109112466de28db0,SYSTEM,,1622894933,0,6f533ccc79227e38f18bfc63bfc961ef4d3ee0e2bf33dd097ccf3548a12b743b,ARCHIVE,,68762b1790ff850c7afaf2343e7fd708609d6fb4
