full_path,file,type,date,changes,arch,value_name,value_type,size,perm,uid,gid,md5,sha1,uname,gname,mtime,inode,sha256,attributes,symbolic_path,checksum
[x32] HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Services\\NDIS\\Parameters:MaxCachedNblContextSize,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NDIS\Parameters,registry_value,1680745722,1,[x32],MaxCachedNblContextSize,REG_DWORD,4,,,,a019e238f85f1f42ad1cca913ddd4d6e,6e218f3c4e45b5f7ccdacfda02f753e300070d3e,,,,,ea50a71c1cc611ac98b0019fd146ffc84387011bc08690132bc5f7451ca75a23,,,49996804aa26460552f35293d26bc9cc75ea9284
[x32] HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Services\\NDIS\\Parameters:PortAuthSendControlState,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NDIS\Parameters,registry_value,1680745722,1,[x32],PortAuthSendControlState,REG_DWORD,4,,,,cc540920e91f05e4f6e4beb72dd441ac,a8eddff2ec7d016b82d3e187c86b100e11502aaa,,,,,5c6bed0d94b9be8afbc5c8cac1e9d4be03f556917c2611ec56f4e6f341ef60d9,,,bf186c9eb381f013a7dba5f8a0fb82c0936a2bf2
[x32] HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Services\\NDIS\\Parameters:PortAuthReceiveAuthorizationState,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NDIS\Parameters,registry_value,1680745722,1,[x32],PortAuthReceiveAuthorizationState,REG_DWORD,4,,,,cc540920e91f05e4f6e4beb72dd441ac,a8eddff2ec7d016b82d3e187c86b100e11502aaa,,,,,5c6bed0d94b9be8afbc5c8cac1e9d4be03f556917c2611ec56f4e6f341ef60d9,,,bf186c9eb381f013a7dba5f8a0fb82c0936a2bf2
[x32] HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Services\\NDIS\\Parameters:PortAuthSendAuthorizationState,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NDIS\Parameters,registry_value,1680745722,1,[x32],PortAuthSendAuthorizationState,REG_DWORD,4,,,,cc540920e91f05e4f6e4beb72dd441ac,a8eddff2ec7d016b82d3e187c86b100e11502aaa,,,,,5c6bed0d94b9be8afbc5c8cac1e9d4be03f556917c2611ec56f4e6f341ef60d9,,,bf186c9eb381f013a7dba5f8a0fb82c0936a2bf2
[x32] HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Services\\NDIS\\Parameters:PortAuthReceiveControlState,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NDIS\Parameters,registry_value,1680745722,1,[x32],PortAuthReceiveControlState,REG_DWORD,4,,,,cc540920e91f05e4f6e4beb72dd441ac,a8eddff2ec7d016b82d3e187c86b100e11502aaa,,,,,5c6bed0d94b9be8afbc5c8cac1e9d4be03f556917c2611ec56f4e6f341ef60d9,,,bf186c9eb381f013a7dba5f8a0fb82c0936a2bf2
[x32] HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Services\\NDIS\\Parameters:TrackNblOwner,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NDIS\Parameters,registry_value,1680745722,1,[x32],TrackNblOwner,REG_DWORD,4,,,,cc540920e91f05e4f6e4beb72dd441ac,a8eddff2ec7d016b82d3e187c86b100e11502aaa,,,,,5c6bed0d94b9be8afbc5c8cac1e9d4be03f556917c2611ec56f4e6f341ef60d9,,,bf186c9eb381f013a7dba5f8a0fb82c0936a2bf2
[x32] HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Services\\NDIS\\Parameters:ReceiveWorkerDisableAutoStart,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NDIS\Parameters,registry_value,1680745722,1,[x32],ReceiveWorkerDisableAutoStart,REG_DWORD,4,,,,dd4b21e9ef71e1291183a46b913ae6f2,70352f41061eda4ff3c322094af068ba70c3b38b,,,,,7e071fd9b023ed8f18458a73613a0834f6220bd5cc50357ba3493c6040a9ea8c,,,5db172f37dc0390414ecd1eb6eb35dce12203fe0
[x32] HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Services\\NDIS\\Parameters:WppRecorder_TraceGuid,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NDIS\Parameters,registry_value,1680745722,1,[x32],WppRecorder_TraceGuid,REG_SZ,39,,,,bc0122b96a987250b934622ede06c6a8,eb89d3aa58509ce58b0c9e21a0098acfb4062fef,,,,,75c51ca92cbfae24c1325bad7ade2b8a6d1d355acfde8736052f1eae3a7f6a58,,,467a77b54d2ec82d14ad99a21483569092762137
[x32] HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Services\\NDIS\\SharedState,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NDIS\SharedState,registry_key,1680745722,1,[x32],,,,"{""S-1-5-18"":{""name"":""SYSTEM"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute""]},""S-1-5-32-544"":{""name"":""Administrators"",""allowed"":[""delete"",""read_control"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea""]},""S-1-5-84-0-0-0-0-0"":{""name"":""USER MODE DRIVERS"",""allowed"":[""read_control"",""read_data"",""read_ea"",""write_ea""]}}",S-1-5-18,S-1-5-18,,,SYSTEM,SYSTEM,1680674758,,,,,8b2a5035e445124138b80e07ec1a35c8227b4501
[x32] HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Services\\NDIS\\State,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NDIS\State,registry_key,1680745722,1,[x32],,,,"{""S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464"":{""name"":""TrustedInstaller"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute""]},""S-1-5-18"":{""name"":""SYSTEM"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute""]},""S-1-5-32-544"":{""name"":""Administrators"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute""]},""S-1-5-84-0-0-0-0-0"":{""name"":""USER MODE DRIVERS"",""allowed"":[""read_control"",""read_data"",""read_ea"",""write_ea""]},""S-1-5-32-545"":{""name"":""Users"",""allowed"":[""read_control"",""read_data"",""read_ea"",""write_ea""]},""S-1-3-0"":{""name"":""CREATOR OWNER"",""allowed"":[""delete"",""read_control"",""write_dac"",""write_owner"",""read_data"",""write_data"",""append_data"",""read_ea"",""write_ea"",""execute""]},""S-1-15-2-1"":{""name"":""ALL APPLICATION PACKAGES"",""allowed"":[""read_control"",""read_data"",""read_ea"",""write_ea""]},""S-1-15-3-1024-1065365936-1281604716-3511738428-1654721687-432734479-3232135806-4053264122-3456934681"":{""allowed"":[""read_control"",""read_data"",""read_ea"",""write_ea""]}}",S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,,,TrustedInstaller,TrustedInstaller,1680674007,,,,,b8c013dfbdb1a8f148fab8836578381d408686e3
