scan_id,iface,proto,address,netmask,broadcast,checksum,item_id
0,Bluetooth Network Connection,ipv4,169.254.109.176,255.255.0.0,169.254.255.255,083e04b583e9e2c5ceb37a65945773797b2a28f9,18cc6d75c381e3a5c90d6639eefb3306c75fd3c8
0,Bluetooth Network Connection,ipv6,fe80::31cc:60c1:7b62:1481,ffff:ffff:ffff:ffff::, ,95cba914253238b0403f9b969afa68803663be8e,3f78fda4b09af9679bdca0030eb5d6f1311c5175
0,Loopback Pseudo-Interface 1,ipv6,::1,, ,fa94c2aa68c8820fe69ba72c5ed91ac0fa9428f9,55604a20b704e491c9afb7320962fe4a0d9d6288
0,Local Area Connection* 10,ipv4,169.254.37.124,255.255.0.0,169.254.255.255,4ed7e440423eab192d5edc4538869569c2b5fef6,87946649b4216777556cb20ec80a6369821b1aaa
0,Local Area Connection* 1,ipv6,fe80::744e:f918:16f2:1125,ffff:ffff:ffff:ffff::, ,3668aee418bb01e743e74d420be3158fb81a5995,8f234112dd68711f0e531922b151d1ab1f8a06e1
0,Loopback Pseudo-Interface 1,ipv4,127.0.0.1,255.0.0.0,127.255.255.255,2e5cd3256e1553d8dbb8d176563d964fc654a2a9,976387d31be037d781b9ff2285b6f44fd28b0650
0,Local Area Connection* 10,ipv6,fe80::7967:9b25:cc2b:b755,ffff:ffff:ffff:ffff::, ,3ed17b5574acafd7b0e1d19623c780e46d09a8ec,b38f12e16037c404f11b44681087db5b24fe05ed
0,Local Area Connection* 1,ipv4,169.254.173.74,255.255.0.0,169.254.255.255,9cd963740149f1707ac1d8c99c5b002c9bf96872,b8e103d5496deee1da8a35d3c0eeb5e1dd900890
0,Wi-Fi,ipv4,192.168.0.9,255.255.255.0,192.168.0.255,166aae017220baf58d83c2436356ebc8e79a57b8,839c955715ebad69ef7742705538d26903f6520c
0,Wi-Fi,ipv6,fe80::b129:7734:d5f:9a26,ffff:ffff:ffff:ffff::, ,f3c101616162db2e548d5780229fc52867f117f5,c02203e26df3fbd6e1ecc76f960c4941a63ea291
