scan_id,iface,proto,address,netmask,broadcast,checksum,item_id
0,Pritunl 2,ipv4,169.254.67.84,255.255.0.0,169.254.255.255,e4b9b4d6d232b8920b61ed9d03bf8361469a2903,01293144061c4c213db5626748bc91fbc63773d8
0,Local Area Connection* 9,ipv6,fe80::dc25:7167:9478:817a,ffff:ffff:ffff:ffff::, ,79aded5e3a208175c4403d2675fee941e2ada8de,0bd59e0191257197526e5c919d2ef540201ca4a9
0,Local Area Connection* 10,ipv4,169.254.0.25,255.255.0.0,169.254.255.255,eec4989c75f4fc19c06f92966189194fe2bf854f,0e6e2dad66143504d8b308cf9ba215e9f42b089d
0,Local Area Connection* 10,ipv6,fe80::61e2:6ed9:3393:a5bc,ffff:ffff:ffff:ffff::, ,9590d34ff91fca4c55a36ec4540360a4ede2fc08,1e863fd520b9aa62e131c7504778ab0a2122c301
0,OpenVPN Wintun,ipv4,169.254.89.194,255.255.0.0,169.254.255.255,2b437decd486bb6e2a56bf61664db1ac5045dccf,3f0d02cfcf9dfd78d9f28f817fd20adc28cb0bb9
0,Loopback Pseudo-Interface 1,ipv6,::1,, ,fa94c2aa68c8820fe69ba72c5ed91ac0fa9428f9,55604a20b704e491c9afb7320962fe4a0d9d6288
0,Pritunl 1,ipv4,169.254.182.78,255.255.0.0,169.254.255.255,7f2499e399f5daa095bdb6373030bdac20d257a5,7eaa26bbc793ef21b05101b75b61df6664795062
0,Wi-Fi,ipv6,fe80::d56e:4eba:128b:fdf0,ffff:ffff:ffff:ffff::, ,3b50840349594a6b6e6e2619a23d2639c0dbb372,86a1158f1aa298defb41b36fec63b69752285157
0,Pritunl 3,ipv6,fe80::1768:ae92:af7f:1cb1,ffff:ffff:ffff:ffff::, ,214acfc5fb63d559560f72278f8ea06d27a8c71d,8a39db2cdb069bad09ee3c2512eb32751617249a
0,Loopback Pseudo-Interface 1,ipv4,127.0.0.1,255.0.0.0,127.255.255.255,2e5cd3256e1553d8dbb8d176563d964fc654a2a9,976387d31be037d781b9ff2285b6f44fd28b0650
0,OpenVPN Wintun,ipv6,fe80::b599:a008:b600:3780,ffff:ffff:ffff:ffff::, ,3555c1f4602f522d560f0fe30a170e7b7214fe0a,9b531550b22bc9b154232cca3370f2312130758e
0,Local Area Connection* 9,ipv4,169.254.141.121,255.255.0.0,169.254.255.255,bb6ac95ac65e177136d32a912d5de632ac565438,b58ebb156bfcc6cb290127473786c76e294939cb
0,Wi-Fi,ipv4,192.168.140.3,255.255.255.0,192.168.140.255,233577500293dbb890efc8dd10838d7dc49acb05,bbd523087362db1dfb61cba1945b42678384f195
0,Pritunl 2,ipv6,fe80::2ed7:afa9:199d:719e,ffff:ffff:ffff:ffff::, ,5eae494e7862a88e9e6ce97b8b439b7621beeb4f,bf30e897032ae2686789bf5c844231e4ad6923f8
0,Pritunl 1,ipv6,fe80::1e72:b681:bd84:d6df,ffff:ffff:ffff:ffff::, ,8517c2112738ef078402c990fa93817680bf7dcb,c890dba387534de28df607db1806dc6796d0a780
0,Pritunl 3,ipv4,169.254.239.85,255.255.0.0,169.254.255.255,b4c2f358551149d8744e33bc36a019857cacfd93,cb9d0ee385ac94a17eef50b79313971e5bc8dc8a
